StimulusNumber;StimulusElement;TrialNum.Value;TrialNum.Timestamp;TrialType;TaskFeedback
0;22;0;2025-08-07T13:45:13.4374912+02:00;0;2,2
1;23;0;2025-08-07T13:45:13.4374912+02:00;0;2,2
2;0;0;2025-08-07T13:45:13.4374912+02:00;0;2,2
0;0;0;2025-08-07T13:45:13.4374912+02:00;0;2,2
0;0;1;2025-08-07T13:45:23.4949632+02:00;2;1,2
1;1;1;2025-08-07T13:45:23.4949632+02:00;2;1,2
2;2;1;2025-08-07T13:45:23.4949632+02:00;2;1,2
0;0;1;2025-08-07T13:45:23.4949632+02:00;2;1,2
0;0;2;2025-08-07T13:45:35.4522496+02:00;0;2,2
1;1;2;2025-08-07T13:45:35.4522496+02:00;0;2,2
2;2;2;2025-08-07T13:45:35.4522496+02:00;0;2,2
0;0;2;2025-08-07T13:45:35.4522496+02:00;0;2,2
0;0;3;2025-08-07T13:45:46.3188992+02:00;0;2,2
1;1;3;2025-08-07T13:45:46.3188992+02:00;0;2,2
2;2;3;2025-08-07T13:45:46.3188992+02:00;0;2,2
0;22;3;2025-08-07T13:45:46.3188992+02:00;0;2,2
0;22;4;2025-08-07T13:45:58.2879360+02:00;0;2,2
1;23;4;2025-08-07T13:45:58.2879360+02:00;0;2,2
2;0;4;2025-08-07T13:45:58.2879360+02:00;0;2,2
0;22;4;2025-08-07T13:45:58.2879360+02:00;0;2,2
0;22;5;2025-08-07T13:46:10.2489472+02:00;2;1,2
1;23;5;2025-08-07T13:46:10.2489472+02:00;2;1,2
2;0;5;2025-08-07T13:46:10.2489472+02:00;2;1,2
0;22;5;2025-08-07T13:46:10.2489472+02:00;2;1,2
0;22;6;2025-08-07T13:46:22.2142464+02:00;2;1,2
1;23;6;2025-08-07T13:46:22.2142464+02:00;2;1,2
2;0;6;2025-08-07T13:46:22.2142464+02:00;2;1,2
0;22;6;2025-08-07T13:46:22.2142464+02:00;2;1,2
0;22;7;2025-08-07T13:46:33.0590720+02:00;2;1,2
1;23;7;2025-08-07T13:46:33.0590720+02:00;2;1,2
2;0;7;2025-08-07T13:46:33.0590720+02:00;2;1,2
0;3;7;2025-08-07T13:46:33.0590720+02:00;2;1,2
0;3;8;2025-08-07T13:46:43.9173888+02:00;2;1,2
1;0;8;2025-08-07T13:46:43.9173888+02:00;2;1,2
2;21;8;2025-08-07T13:46:43.9173888+02:00;2;1,2
0;0;8;2025-08-07T13:46:43.9173888+02:00;2;1,2
0;0;9;2025-08-07T13:46:54.7572608+02:00;3;1,2
1;1;9;2025-08-07T13:46:54.7572608+02:00;3;1,2
2;2;9;2025-08-07T13:46:54.7572608+02:00;3;1,2
0;21;9;2025-08-07T13:46:54.7572608+02:00;3;1,2
